game_id,season,week,start_date,home_team,away_team,books,market_total,min_market_total,max_market_total,market_total_range,projected_offensive_total_raw,projected_scoreboard_total,actual_score_total,total_edge,abs_total_edge,direction,actual_total_residual,aligned_total_residual,result,edge_bucket,market_total_bucket,calibration_intercept,calibration_slope,calibration_n,football_lab_total_edge,pace_total_edge,efficiency_total_edge,tendency_total_edge,pace_projected_total,efficiency_projected_total,tendency_projected_total,primary_z,primary_direction,structural_z,structural_z_aligned,tendency_z,tendency_z_aligned,available_confirmations,confirmation_count,confirmation_combination,abs_primary_z
401525434,2023,1,2023-08-26T18:30:00+00:00,Notre Dame,Navy,5,50.2,49.0,50.5,1.5,44.900000000000006,53.32847264209183,45.0,3.128472642091829,3.128472642091829,over,-5.200000000000003,-5.200000000000003,loss,3-4.99,45-54.5,22.381232264941374,0.689248115304019,1769,3.128472642091829,4.273910203165563,5.075786096226068,5.174999999999997,54.473910203165566,55.27578609622607,55.375,0.48072745555678026,1,0.6335146563507572,0.6335146563507572,1.0234180991759385,1.0234180991759385,2,2,structural+tendency,0.48072745555678026
401520145,2023,1,2023-08-26T21:30:00+00:00,Jacksonville State,UTEP,4,52.875,51.5,54.5,3.0,43.0,52.01890122301419,31.0,-0.8560987769858102,0.8560987769858102,under,-21.875,21.875,win,<1,45-54.5,22.381232264941374,0.689248115304019,1769,-0.8560987769858102,1.728775168298121,0.7954395570522053,-1.8958333333333286,54.60377516829812,53.670439557052205,50.97916666666667,-0.13154987556179495,-1,0.16368210693184782,-0.16368210693184782,-0.37492369977862405,0.37492369977862405,2,1,tendency_only,0.13154987556179495
401525450,2023,1,2023-08-26T23:00:00+00:00,New Mexico State,Massachusetts,5,44.1,42.5,45.5,3.0,36.2,47.332014038946866,71.0,3.232014038946865,3.232014038946865,over,26.9,26.9,win,3-4.99,<45,22.381232264941374,0.689248115304019,1769,3.232014038946865,10.698572615996952,4.4196357323095015,2.7749999999999986,54.79857261599695,48.5196357323095,46.875,0.4966378367393481,1,0.9759309297664533,0.9759309297664533,0.5487894155001409,0.5487894155001409,2,2,structural+tendency,0.4966378367393481
401532392,2023,1,2023-08-26T23:00:00+00:00,San Diego State,Ohio,5,48.8,48.5,49.0,0.5,44.5,53.05277339597022,33.0,4.252773395970223,4.252773395970223,over,-15.799999999999997,-15.799999999999997,loss,3-4.99,45-54.5,22.381232264941374,0.689248115304019,1769,4.252773395970223,5.998572615996956,4.984563718604846,-3.799999999999997,54.79857261599695,53.78456371860484,45.0,0.6534897912156087,1,0.731684543233136,0.731684543233136,-0.7514954158200127,-0.7514954158200127,2,1,structural_only,0.6534897912156087
401520147,2023,1,2023-08-26T23:30:00+00:00,Vanderbilt,Hawai'i,4,55.0,54.5,56.0,1.5,44.1,52.777074149848616,63.0,-2.222925850151384,2.222925850151384,under,8.0,-8.0,loss,2-2.99,55-64.5,22.381232264941374,0.689248115304019,1769,-2.222925850151384,-0.39622483170187905,-0.705681693126671,-2.5625,54.60377516829812,54.29431830687333,52.4375,-0.34157929766013295,-1,-0.07603734684544435,0.07603734684544435,-0.5067650007996799,0.5067650007996799,2,2,structural+tendency,0.34157929766013295
401523986,2023,1,2023-08-27T00:00:00+00:00,USC,San José State,5,64.8,63.5,66.5,3.0,58.2,62.49547257563528,84.0,-2.3045274243647142,2.3045274243647142,under,19.200000000000003,-19.200000000000003,loss,2-2.99,55-64.5,22.381232264941374,0.689248115304019,1769,-2.3045274243647142,-10.228691072985015,-1.0866342263150557,1.5125000000000028,54.57130892701498,63.71336577368494,66.3125,-0.3541183611677404,-1,-0.7020322371650463,0.7020322371650463,0.29911495169151897,-0.29911495169151897,2,1,structural_only,0.3541183611677404
401520146,2023,1,2023-08-27T01:00:00+00:00,Louisiana Tech,Florida International,5,58.5,57.5,59.0,1.5,49.0,56.154389914838305,39.0,-2.3456100851616952,2.3456100851616952,under,-19.5,19.5,win,2-2.99,55-64.5,22.381232264941374,0.689248115304019,1769,-2.3456100851616952,-3.2144337647559524,-3.6959271048581925,2.75,55.28556623524405,54.80407289514181,61.25,-0.3604312062048732,-1,-0.46751975784857636,0.46751975784857636,0.5438453667118517,-0.5438453667118517,2,1,structural_only,0.3604312062048732
401525461,2023,1,2023-08-31T23:00:00+00:00,Wake Forest,Elon,3,54.333333333333336,53.5,56.0,2.5,54.199999999999996,59.7384801144192,54.0,5.405146781085861,5.405146781085861,over,-0.3333333333333357,-0.3333333333333357,loss,5-7.99,45-54.5,22.381232264941374,0.689248115304019,1769,5.405146781085861,1.0820978670432666,3.521658813982505,,55.4154312003766,57.85499214731584,,0.8305658243649928,1,0.325016221118647,0.325016221118647,,,1,1,structural_only,0.8305658243649928
401525816,2023,1,2023-08-31T23:00:00+00:00,UCF,Kent State,5,55.5,53.0,58.5,5.5,51.8,58.08428463768956,62.0,2.5842846376895565,2.5842846376895565,over,6.5,6.5,win,2-2.99,55-64.5,22.381232264941374,0.689248115304019,1769,2.5842846376895565,-0.7014273840030469,2.826705348400111,1.4375,54.79857261599695,58.32670534840011,56.9375,0.3971064223468157,1,0.16540072838311434,0.16540072838311434,0.28428280532664973,0.28428280532664973,2,2,structural+tendency,0.3971064223468157
401531834,2023,1,2023-08-31T23:00:00+00:00,Georgia State,Rhode Island,3,59.666666666666664,56.0,61.5,5.5,54.400000000000006,59.87632973748001,77.0,0.2096630708133489,0.2096630708133489,over,17.333333333333336,17.333333333333336,win,<1,55-64.5,22.381232264941374,0.689248115304019,1769,0.2096630708133489,-5.32262142863366,2.525043619649672,,54.344045238033004,62.19171028631634,,0.032217252981611266,1,-0.1378378286449917,-0.1378378286449917,,,1,0,none,0.032217252981611266
