game_id,season,week,start_date,home_team,away_team,selected_side,selected_team,market_role,spread_bucket,total_bucket,season_phase,market_spread_home,market_home_margin,market_total,books,actual_home_margin,market_margin_residual_home,aligned_residual,hit,margin_power_edge,margin_power_z,abs_margin_power_z,structural_z,structural_z_aligned,structural_members,line_elo_z,line_elo_z_aligned,confirmation_count,confirmation_combination,narrative_state,narrative_z,football_lab_edge,elo_edge,efficiency_power_edge,line_elo_edge,narrative_interaction_edge,structural_strength,line_elo_strength,joint_confirmation_strength
401249033,2020,14,2020-12-05T23:00:00+00:00,San José State,Hawai'i,home,San José State,underdog,<3,55-64.5,late_10_plus,0.9,-0.9,59.5,5,11.0,11.9,11.9,True,9.109558284841567,1.0256403469189896,1.0256403469189896,0.7222829108723707,0.7222829108723707,elo_edge|efficiency_power_edge,0.07283210972024734,0.07283210972024734,2,structural+market,missing,,,6.36,5.374768017180945,0.8407115633623833,,strong_>=0.50,weak_<0.25,weak_any_<0.25
401249885,2020,15,2020-12-12T17:00:00+00:00,Ball State,Western Michigan,home,Ball State,underdog,<3,65+,late_10_plus,2.1,-2.1,66.1,5,3.0,5.1,5.1,True,10.507105700188129,1.182989470893195,1.182989470893195,0.42431111293557616,0.42431111293557616,elo_edge|efficiency_power_edge,0.21184947141000082,0.21184947141000082,2,structural+market,missing,,,4.08,2.14188220522027,2.4454090509077107,-0.9819455246506901,moderate_0.25_0.50,weak_<0.25,weak_any_<0.25
401282074,2021,3,2021-09-18T23:30:00+00:00,LSU,Central Michigan,away,Central Michigan,underdog,14+,55-64.5,early_1_4,-19.5,19.5,60.7,5,28.0,8.5,-8.5,False,-12.499124065683237,-1.3775267170240992,1.3775267170240992,-1.1124352497006156,1.1124352497006156,elo_edge|efficiency_power_edge,-0.5573579119895367,0.5573579119895367,2,structural+market,agrees,-0.5869155356235094,,-8.2,-12.436893431189393,-5.592868822269065,-0.38651774829933666,strong_>=0.50,strong_>=0.50,strong_both_>=0.50
401309854,2021,3,2021-09-19T02:15:00+00:00,BYU,Arizona State,home,BYU,underdog,3-6.5,45-54.5,early_1_4,3.3,-3.3,50.7,5,10.0,13.3,13.3,True,33.88669612040561,3.7346480451135498,3.7346480451135498,1.4329556582593548,1.4329556582593548,elo_edge|efficiency_power_edge,0.35642302978116125,0.35642302978116125,2,structural+market,agrees,1.3161889058028817,,11.559999999999999,13.513697455788957,3.576565807931256,0.86678634544415,strong_>=0.50,moderate_0.25_0.50,moderate_both_>=0.25
401282206,2021,4,2021-09-25T16:00:00+00:00,Central Michigan,Florida International,away,Florida International,underdog,7-13.5,55-64.5,early_1_4,-12.125,12.125,55.375,4,4.0,-8.125,8.125,True,-16.121689095258848,-1.7767691028244217,1.7767691028244217,-0.8511914592284906,0.8511914592284906,elo_edge|efficiency_power_edge,-0.44279649750021344,0.44279649750021344,2,structural+market,opposes,0.06826912300632859,,-5.825,-10.645427141690268,-4.443289800334578,0.04495915698456356,strong_>=0.50,moderate_0.25_0.50,moderate_both_>=0.25
401282707,2021,4,2021-09-25T16:00:00+00:00,Wisconsin,Notre Dame,away,Notre Dame,underdog,3-6.5,<45,early_1_4,-6.0,6.0,43.875,4,-28.0,-34.0,34.0,True,-13.006536877708914,-1.433448612146715,1.433448612146715,-0.46930693221535,0.46930693221535,elo_edge|efficiency_power_edge,-0.1241495494128141,0.1241495494128141,2,structural+market,agrees,-0.20934846998120615,,-3.94,-4.038870459037659,-1.2457922086924924,-0.13786804798255178,moderate_0.25_0.50,weak_<0.25,weak_any_<0.25
401309557,2021,4,2021-09-25T18:00:00+00:00,Eastern Michigan,Texas State,away,Texas State,underdog,7-13.5,55-64.5,early_1_4,-7.5,7.5,62.25,4,38.0,30.5,-30.5,False,-39.879006544000525,-4.395059739711188,4.395059739711188,-0.11472402235844702,0.11472402235844702,elo_edge|efficiency_power_edge,-0.20778961638956112,0.20778961638956112,2,structural+market,agrees,-0.23269828411466137,,-1.2799999999999994,-0.19101799200344782,-2.0850875929042925,-0.15324524799563938,weak_<0.25,weak_<0.25,weak_any_<0.25
401282756,2021,4,2021-09-25T19:30:00+00:00,Iowa,Colorado State,away,Colorado State,underdog,14+,<45,early_1_4,-23.625,23.625,43.75,4,10.0,-13.625,13.625,True,-18.85425383716745,-2.077924681263062,2.077924681263062,-0.4821141627199883,0.4821141627199883,elo_edge|efficiency_power_edge,-0.146481761798364,0.146481761798364,2,structural+market,agrees,-1.3161889058028817,,-2.844999999999999,-7.171233989029393,-1.4698872321893113,-0.86678634544415,moderate_0.25_0.50,weak_<0.25,weak_any_<0.25
401287907,2021,4,2021-09-25T19:30:00+00:00,Baylor,Iowa State,home,Baylor,underdog,7-13.5,45-54.5,early_1_4,7.0,-7.0,46.125,4,2.0,9.0,9.0,True,29.520205124689877,3.2534176825189536,3.2534176825189536,0.5716603898707339,0.5716603898707339,elo_edge|efficiency_power_edge,0.3557710365378192,0.3557710365378192,2,structural+market,agrees,0.6695663082885114,,-0.6600000000000001,18.639878048772587,3.5700233105438928,0.4409480514804224,strong_>=0.50,moderate_0.25_0.50,moderate_both_>=0.25
401282083,2021,4,2021-09-25T20:00:00+00:00,Auburn,Georgia State,away,Georgia State,underdog,14+,55-64.5,early_1_4,-27.5,27.5,57.375,4,10.0,-17.5,17.5,True,-19.66527175104243,-2.1673068522437657,2.1673068522437657,-1.2680792993295964,1.2680792993295964,elo_edge|efficiency_power_edge,-0.5951694611441193,0.5951694611441193,2,structural+market,agrees,-0.09062515090774954,,-7.359999999999999,-19.17136853632898,-5.972292940666311,-0.05968189141720148,strong_>=0.50,strong_>=0.50,strong_both_>=0.50
401309858,2021,4,2021-09-25T22:00:00+00:00,Stanford,UCLA,home,Stanford,underdog,3-6.5,55-64.5,early_1_4,4.0,-4.0,60.125,4,-11.0,-7.0,-7.0,False,21.820046237787444,2.404784247384007,2.404784247384007,0.32585334200376515,0.32585334200376515,elo_edge|efficiency_power_edge,0.08562986979228678,0.08562986979228678,2,structural+market,opposes,-0.07578799621510446,,2.26,3.9997092692589873,0.8592622778184067,-0.049910768870789886,moderate_0.25_0.50,weak_<0.25,weak_any_<0.25
401282084,2021,4,2021-09-25T23:00:00+00:00,Florida,Tennessee,away,Tennessee,underdog,14+,55-64.5,early_1_4,-19.0,19.0,64.75,4,24.0,5.0,-5.0,False,-16.067994103172552,-1.7708513852483279,1.7708513852483279,-1.0471857501109787,1.0471857501109787,elo_edge|efficiency_power_edge,-0.25499406651370016,0.25499406651370016,2,structural+market,agrees,-0.4059364091386208,,-7.42,-12.458930652669338,-2.5587658016324184,-0.2673325500683733,strong_>=0.50,moderate_0.25_0.50,moderate_both_>=0.25
401282211,2021,4,2021-09-26T00:00:00+00:00,Tulane,UAB,away,UAB,underdog,<3,45-54.5,early_1_4,-2.625,2.625,54.625,4,-7.0,-9.625,9.625,True,-15.804659607018031,-1.7418293272176475,1.7418293272176475,-0.01312753763323565,0.01312753763323565,elo_edge|efficiency_power_edge,-0.06203355673302778,0.06203355673302778,2,structural+market,agrees,-0.5707857485727796,,-0.20500000000000007,0.12524669334720873,-0.6224824980920403,-0.3758953527534892,weak_<0.25,weak_<0.25,weak_any_<0.25
401310708,2021,4,2021-09-26T00:00:00+00:00,New Mexico State,Hawai'i,home,New Mexico State,underdog,14+,55-64.5,early_1_4,17.0,-17.0,63.0,4,-20.0,-3.0,-3.0,False,15.370643096855577,1.6939964282691675,1.6939964282691675,1.624867689242278,1.624867689242278,elo_edge|efficiency_power_edge,0.31554224182518686,0.31554224182518686,2,structural+market,opposes,-0.3255814544205671,,12.58,16.65101184961311,3.166343077670536,-0.21441417548603725,strong_>=0.50,moderate_0.25_0.50,moderate_both_>=0.25
401282212,2021,4,2021-09-26T01:00:00+00:00,UTEP,New Mexico,home,UTEP,underdog,<3,45-54.5,early_1_4,2.375,-2.375,54.0,4,7.0,9.375,9.375,True,19.591568257270904,2.1591840004923344,2.1591840004923344,0.41288133671492777,0.41288133671492777,elo_edge|efficiency_power_edge,0.10653864255818267,0.10653864255818267,2,structural+market,opposes,-0.6907094641753252,,2.675,5.54191086098982,1.069073641035375,-0.45487203970239265,moderate_0.25_0.50,weak_<0.25,weak_any_<0.25
401309857,2021,4,2021-09-26T01:30:00+00:00,Washington,California,home,Washington,favorite,7-13.5,45-54.5,early_1_4,-7.375,7.375,47.5,4,7.0,-0.375,-0.375,False,29.614397116215095,3.263798568745368,3.263798568745368,0.32123274322006556,0.32123274322006556,elo_edge|efficiency_power_edge,0.09919444844807895,0.09919444844807895,2,structural+market,agrees,0.6695663082885114,,5.645,-4.644636458059091,0.9953775233711077,0.4409480514804224,moderate_0.25_0.50,weak_<0.25,weak_any_<0.25
401287916,2021,5,2021-10-02T19:30:00+00:00,West Virginia,Texas Tech,away,Texas Tech,underdog,7-13.5,55-64.5,mid_5_9,-7.375,7.375,55.25,4,-3.0,-10.375,10.375,True,-9.821129563114956,-1.0823853170391382,1.0823853170391382,-0.623718925647426,0.623718925647426,elo_edge|efficiency_power_edge,-0.15749389173296233,0.15749389173296233,2,structural+market,agrees,-0.16914323537463835,,-3.1550000000000002,-10.598522791815586,-1.5803896523633467,-0.11139058094213991,strong_>=0.50,weak_<0.25,weak_any_<0.25
