scope,season,policy,source_games,keep_n,fade_n,pass_n,acted_n,n,wins,hit_rate,hit_rate_ci95,mean_aligned_residual,mean_aligned_residual_bootstrap_ci95,median_aligned_residual,worst_aligned_miss,best_aligned_result
year,2021,pass_weak_confirmation,36,16,0,20,16,16,6,0.375,0.1848|0.6136,0.831,-4.227|5.99,-1.812,-13.75,21.75
year,2022,pass_weak_confirmation,25,15,0,10,15,15,8,0.5333,0.3012|0.7519,0.633,-7.578|10.669,1.625,-26.5,42.0
year,2023,pass_weak_confirmation,23,11,0,12,11,11,7,0.6364,0.3538|0.8483,6.818,-0.44|14.092,6.167,-18.0,31.667
year,2024,pass_weak_confirmation,30,16,0,14,16,16,8,0.5,0.28|0.72,5.505,-1.184|12.771,3.25,-14.833,30.5
year,2025,pass_weak_confirmation,29,14,0,15,14,14,9,0.6429,0.3876|0.8366,11.548,1.583|21.562,10.5,-16.333,47.833
year,2020,pass_missing_and_weak_fade_14_plus,12,0,0,12,0,0,,,,,,,,
year,2021,pass_missing_and_weak_fade_14_plus,36,11,5,20,16,16,9,0.5625,0.3318|0.769,2.362,-2.779|7.148,3.375,-17.5,21.75
year,2022,pass_missing_and_weak_fade_14_plus,25,9,6,10,15,15,6,0.4,0.1982|0.6425,-5.467,-14.578|3.435,-5.0,-42.0,23.875
year,2023,pass_missing_and_weak_fade_14_plus,23,11,0,12,11,11,7,0.6364,0.3538|0.8483,6.818,-0.697|14.669,6.167,-18.0,31.667
year,2024,pass_missing_and_weak_fade_14_plus,30,13,3,14,16,16,9,0.5625,0.3318|0.769,4.526,-3.349|11.479,8.333,-30.167,30.5
year,2025,pass_missing_and_weak_fade_14_plus,29,11,3,15,14,14,10,0.7143,0.4535|0.8828,9.286,-0.657|20.845,10.5,-30.5,47.833
