game_id,season,week,kickoff,projected_total,opening_total,closing_total,actual_total,model_vs_open,abs_model_vs_open,model_direction,market_move,aligned_market_move,close_moved_toward_model,close_moved_away_from_model,close_unchanged,open_distance_to_model,close_distance_to_model,distance_improvement_toward_model,open_result_aligned,close_result_aligned,opening_edge_bucket,close_provider_range,open_books,close_books,calibration_n,market_total_residual,active_narrative_tags,narrative_tag_count,home_narrative_tags,away_narrative_tags,narrative_adjustment,narrative_tags_used,narrative_relation_to_fl,original_closing_result,adjusted_projected_total,adjusted_edge_vs_close,adjusted_direction,adjusted_aligned_residual,adjusted_closing_result,direction_changed_by_narrative,absolute_projection_error_original,absolute_projection_error_adjusted
401426532,2022,1,2022-08-27T16:00:00+00:00,53.86078717534477,64.5,72.33333333333333,65.0,-10.639212824655232,10.639212824655232,under,7.833333333333329,-7.833333333333329,False,True,False,10.639212824655232,18.47254615798856,-7.833333333333329,-0.5,7.333333333333329,8+,1.0,1,3,877,-7.333333333333329,statement_win|letdown_candidate|market_darling|market_chase|lookahead_candidate,5,statement_win|letdown_candidate|market_darling|market_chase,lookahead_candidate,,,missing_or_neutral,win,53.86078717534477,-18.47254615798856,under,7.333333333333329,win,False,11.139212824655232,11.139212824655232
401405059,2022,1,2022-08-27T16:30:00+00:00,51.00213928897983,52.0,52.25,59.0,-0.9978607110201665,0.9978607110201665,under,0.25,-0.25,False,True,False,0.9978607110201665,1.2478607110201665,-0.25,-7.0,-6.75,<1,0.5,1,4,877,6.75,bad_loss|bounceback_candidate|market_chase,3,bad_loss|bounceback_candidate,market_chase,,,missing_or_neutral,loss,51.00213928897983,-1.2478607110201665,under,-6.75,loss,False,7.9978607110201665,7.9978607110201665
401413256,2022,1,2022-08-27T19:30:00+00:00,46.09389480484383,52.5,50.666666666666664,73.0,-6.406105195156172,6.406105195156172,under,-1.8333333333333357,1.8333333333333357,True,False,False,6.406105195156172,4.572771861822837,1.8333333333333357,-20.5,-22.333333333333336,5-7.99,1.0,1,3,877,22.333333333333336,bad_loss|bounceback_candidate|market_skepticism|lookahead_candidate|sandwich_candidate,5,bad_loss|bounceback_candidate|market_skepticism,lookahead_candidate|sandwich_candidate,,,missing_or_neutral,loss,46.09389480484383,-4.572771861822837,under,-22.333333333333336,loss,False,26.906105195156172,26.906105195156172
401404146,2022,1,2022-08-27T20:00:00+00:00,53.26748289704261,60.5,59.25,51.0,-7.232517102957388,7.232517102957388,under,-1.25,1.25,True,False,False,7.232517102957388,5.982517102957388,1.25,9.5,8.25,5-7.99,0.5,1,4,877,-8.25,upset_win|letdown_candidate|market_skepticism|market_lag|lookahead_candidate|sandwich_candidate,6,upset_win|letdown_candidate|market_skepticism|lookahead_candidate|sandwich_candidate,market_skepticism|market_lag,,,missing_or_neutral,win,53.26748289704261,-5.982517102957388,under,8.25,win,False,2.267482897042612,2.267482897042612
401405058,2022,1,2022-08-27T20:00:00+00:00,52.026937587865376,46.5,42.75,44.0,5.526937587865376,5.526937587865376,over,-3.75,-3.75,False,True,False,5.526937587865376,9.276937587865376,-3.75,-2.5,1.25,5-7.99,0.5,1,4,877,1.25,market_lag|disputed_team,2,disputed_team,market_lag|disputed_team,,,missing_or_neutral,win,52.026937587865376,9.276937587865376,over,1.25,win,False,8.026937587865376,8.026937587865376
401411090,2022,1,2022-08-27T21:00:00+00:00,53.86078717534477,55.0,57.0,54.0,-1.1392128246552318,1.1392128246552318,under,2.0,-2.0,False,True,False,1.1392128246552318,3.1392128246552318,-2.0,1.0,3.0,1-1.99,0.0,1,3,877,-3.0,upset_win|market_darling|market_chase,3,market_darling|market_chase,upset_win,,,missing_or_neutral,win,53.86078717534477,-3.1392128246552318,under,3.0,win,False,0.13921282465523177,0.13921282465523177
401426530,2022,1,2022-08-27T23:00:00+00:00,55.85644702054293,57.5,60.0,56.0,-1.6435529794570698,1.6435529794570698,under,2.5,-2.5,False,True,False,1.6435529794570698,4.14355297945707,-2.5,1.5,4.0,1-1.99,0.0,1,1,877,-4.0,bad_loss|upset_loss|bounceback_candidate|market_lag,4,bad_loss|upset_loss|bounceback_candidate,bad_loss|bounceback_candidate|market_lag,,,missing_or_neutral,win,55.85644702054293,-4.14355297945707,under,4.0,win,False,0.1435529794570698,0.1435529794570698
401411091,2022,1,2022-08-28T00:15:00+00:00,57.690296608022315,56.0,56.0,80.0,1.6902966080223152,1.6902966080223152,over,0.0,0.0,False,False,True,1.6902966080223152,1.6902966080223152,0.0,24.0,24.0,1-1.99,1.5,1,3,877,24.0,bad_loss|upset_loss|bounceback_candidate|market_darling|market_chase,5,bad_loss|upset_loss|bounceback_candidate|market_darling|market_chase,,,,missing_or_neutral,win,57.690296608022315,1.6902966080223152,over,24.0,win,False,22.309703391977685,22.309703391977685
401426531,2022,1,2022-08-28T01:00:00+00:00,55.101332484522,57.0,52.875,44.0,-1.898667515478003,1.898667515478003,under,-4.125,4.125,True,False,False,1.898667515478003,2.226332484521997,-0.3276649690439939,13.0,8.875,1-1.99,1.5,1,4,877,-8.875,bad_loss|bounceback_candidate|market_lag|lookahead_candidate|sandwich_candidate,5,market_lag|lookahead_candidate|sandwich_candidate,bad_loss|bounceback_candidate|lookahead_candidate|sandwich_candidate,,,missing_or_neutral,win,55.101332484522,2.226332484521997,over,-8.875,loss,True,11.101332484521997,11.101332484521997
401409235,2022,1,2022-08-28T02:00:00+00:00,57.15092908229308,55.5,48.0,35.0,1.6509290822930822,1.6509290822930822,over,-7.5,-7.5,False,True,False,1.6509290822930822,9.150929082293082,-7.5,-20.5,-13.0,1-1.99,0.0,1,4,877,-13.0,bad_loss|bounceback_candidate|market_skepticism|market_chase|market_lag|lookahead_candidate,6,market_skepticism|market_lag|lookahead_candidate,bad_loss|bounceback_candidate|market_chase,,,missing_or_neutral,loss,57.15092908229308,9.150929082293082,over,-13.0,loss,False,22.150929082293082,22.150929082293082
